Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
NYC HOUSING AUTHORITY,1,SECRETARY,2026-01-20,"1.	Knowledge of Kronos timekeeping. 2.	Excellent time management and advanced planning skills. 3.	Strong administrative skills. 4.	Excellent written and verbal communication skills. 5.	Ability to work on various tasks simultaneously. 6.	Proficient in Microsoft Excel, Word, and Outlook.",46503,73002,59752
DEPARTMENT OF CORRECTION,6,COMMUNITY COORDINATOR,2026-01-07,,62868,72298,67583
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE PUBLIC HEALTH N,2025-04-03,,66067,100000,83034
DEPT OF DESIGN & CONSTRUCTION,2,PROJECT MANAGER INTERN#,2026-01-28,"Candidate should possess excellent organizational, verbal, and written skills, with the ability to multi-task various projects. Proficiency in Microsoft Office is preferred.",59888,68871,64380
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY COORDINATOR,2026-01-16,,62868,70000,66434
DEPT OF DESIGN & CONSTRUCTION,1,ADMIN ARCHITECT (NON MGRL) M-1,2025-12-18,"The candidate must have a thorough understanding of current architectural/ engineering design principles and practices, the NYC Building Codes, the NYC Energy Code in particular, as well as general building design, construction, project management, and project delivery methodologies. The candidate must have excellent management skills and the ability to communicate effectively both verbally and in writing. The candidate must have prior experience in a managerial, administrative, or supervisory position. AutoCAD required, BIM preferred, LEED AP preferred. A valid motor vehicle driver’s license is required.",62407,113966,88186
CONSUMER AND WORKER PROTECTION,1,AGENCY ATTORNEY,2025-12-10,"•	Litigation and/or regulatory experience; •	Demonstrated excellent verbal, written, interpersonal, analytical, problem-solving and time management skills; •	Project management experience or the desire to gain project management experience; •	Proficient in conducting legal research and undertaking factual investigations, including reviewing documents and conducting witness interviews and depositions; •	Demonstrated excellent legal research and writing skills, with attention to detail; •	Experience in settlement negotiations; •	Comfort with data-driven analysis and strategic planning; •	Ability to effectively interact with multi-functional teams comprised of attorney and non-attorney staff; •	Ability to effectively manage multiple priorities with competing deadlines; •	References that can confirm legal skills.",83000,95450,89225
CAMPAIGN FINANCE BOARD,1,COLLEGE AIDE (ALL CITY DEPTS),2025-12-17,,37128,44512,40820
OFFICE OF MANAGEMENT & BUDGET,1,BUDGET ANALYST (OMB)-MANAGERIA,2025-10-31,,167101,167101,167101
LANDMARKS PRESERVATION COMM,1,COMMUNITY ASSOCIATE,2025-12-04,,50714,52000,51357
DEPT OF HEALTH/MENTAL HYGIENE,1,SUPERVISING SPECIAL OFFICER,2025-06-20,,62073,70142,66108
DEPT OF ENVIRONMENT PROTECTION,1,ADM ENGINEER (NON MGRL),2026-01-27,"•	Proficiency in Microsoft suite of software to include MS Word, Excel, Outlook, Power-Point, and other standard office programs such as Adobe Acrobat.  •	Knowledge of database programs and/or computerized maintenance management software.  •	Working knowledge of AutoCAD.  •	Ability to learn new software as needed.  •	Time management, effective communication, organizational and interpersonal skills.   •	Attention to detail, planning and budgeting.   Special Working Conditions:  Most of the work is performed in an office setting and/or driving to and from meeting locations and job sites.  There are times when the candidate will need to be able to walk up and down steep embankment dams, negotiate ladders and scaffolding, make confined space entries, walk down and up numerous flights of stairs within the dam release chambers, negotiate rough terrain on watershed lands or construction sites and in all kinds of weather and day/nighttime conditions.  Work Location:    71 Smith Av. Kingston, NY 12401   Kingston is a city in Ulster County, NY approx. 90 miles North from New York City.",62407,169806,116106
LAW DEPARTMENT,1,ASSISTANT CORPORATION COUNSEL,2025-12-16,,101030,180791,140910
DEPT OF HEALTH/MENTAL HYGIENE,1,ENVIRONMENTAL ENGINEER,2025-10-30,,93614,107656,100635
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE PROJECT MANAGER,2025-11-07,"Minimum of fifteen years of supervisory/managerial experience. Experience in construction safety and quality assurance field. Practical knowledge of federal, state and city laws, regulations, and standards, such as OSHA, NYC DOB, NYC DEP, NYC DOT, ASTM, MUTCD. Proficient in Word, Excel, and Power Point. Strong investigative and reporting skills, and ability to perform work under time-sensitive deadlines. Excellent interpersonal, verbal, and written communication, analytical and presentation skills. Candidates must hold a Driver’s License valid in the State of New York and have the ability to drive in all 5-boroughs of NYC.",83718,170942,127330
HRA/DEPT OF SOCIAL SERVICES,1,ELIGIBILITY SPECIALIST,2026-01-16,"•     Practical knowledge of Cash Assistance Program Policies and Procedures and applicable        experience in the computation of CA benefits.   •     Practical knowledge of Supplemental Nutrition Assistance Program Policies and Procedures        and applicable experience in the computation of SNAP benefits.   •     Knowledge of WMS Inquiry, Budgeting and CNS subsystems, POS, HRA Viewer, NYCWAY, and RFI.   •     Working knowledge of Microsoft Word, Excel, and Outlook.",46555,53538,50046
DEPARTMENT OF INVESTIGATION,1,SPECIAL INVESTIGATOR,2025-11-21,"1.A minimum of four years of experience conducting complex investigations (preferably involving procurement, contracting, and/or otherwhite-collar related criminal offenses). At least two years of experience at a law enforcement agency, investigative agency, or investigationsand audit firm serving in an investigative role (agent, detective, or equivalent investigative position) required. 2.Proven ability to perform financial analysis, analyze internal controls and policies, conduct interviews, and provide testimony. 3.Demonstrated writing ability, including to prepare detailed written reports and memoranda, and experience editing written word product to a high standard. Candidates should be prepared to provide a writing sample. 4.Proven ability to conduct and lead field activities, such as search warrant operations and surveillance, with minimal supervision. 5.Demonstrated ability to function independently, with minimal supervision, to conduct investigations and balance an active caseload ofmultiple cases on a short timeline. Possess excellent organizational skills and proven ability to manage time efficiently in a fast-pacedenvironment. 6.Experience with investigations into government agencies, procurement, and/or contracts. Specific experience with investigations into the construction industry, infrastructure projects, and/or engineering is a plus. 7.Experience working with federal, state, and city prosecutors on complex investigations and cases. 8.Strong interpersonal, written, and analytical skills. 9.Proficiency in Microsoft Office, advanced Excel skills, including V-lookup and pivot tables, bank statement scanning software, and various computer programs. 10.Ability to work well with all levels of staff and management. 11.Demonstrated ethics and sound judgment. 11.Certified Public Accountant (CPA) and/or Certified Fraud Examiner (CFE) is a plus.",40000,106912,73456
ADMIN FOR CHILDREN'S SVCS,1,CHILD PROTECTIVE SPECIALIST SU,2026-01-23,The preferred candidate must have a previous background as a Child Protection Specialist.,78315,106624,92470
FIRE DEPARTMENT,1,AGENCY ATTORNEY,2026-02-02,"Prior investigative and/or litigation experience is strongly preferred.  Strong knowledge of Title VII of the Civil Rights Law of 1964, the Americans with Disabilities Act, and New York State and City Human Rights Laws. Excellent writing, analytical, communications, and people skills.  Ability to complete assigned tasks in an independent, organized, and timely manner.",92525,110478,101502
ADMIN FOR CHILDREN'S SVCS,1,DIRECTOR OF HEADSTART PROGRAM,2026-01-13,"• Must be flexible, diplomatic, and a team player, with demonstrated supervisory experience and an ability to work and produce in a fast-paced environment.  • A graduate degree in public policy, public administration, social research, urban planning, or another related field.  • Candidate should possess strong process improvement, analytical, project management, communication and interpersonal skills with the ability to manage multiple tasks in a fast-paced work environment.  • Proficiency in the use of the Microsoft Office Suite of applications is required.    The preferred candidate must possess superb skills in the following Executive Core Competencies:  • Fundamental Competencies: - (i.e., interpersonal skills, oral communication, integrity/honesty, written communication, continual learning and public service motivation).  • Leading Strategic Change - (i.e., creativity and innovation, external awareness, flexibility, strategic thinking and vision).  • Accountability - (i.e., accountability, customer service, decisiveness, entrepreneurship, problem solving and technical credibility).",103355,260030,181692
