Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DISTRICT ATTORNEY-MANHATTAN,7,COMMUNITY ASSOCIATE,2025-10-23,,52110,52110,52110
NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SYSTEMS MANAGER,2026-01-18,"• Hands-on knowledge of MS SQL Server, DB2 LUW, ORACLE, IBM DataStage or SSIS • Prior experience with ETL process including transformation of complex flat files such as VSAM to RDBMS • At least 7 years of ""hands on"" experience working in data architecture (data analyst, data quality lead, DBA, etc.) both OLTP and OLAP environments • Minimum 5 years of experience managing technical teams on large-scale projects • Proven record of accomplishment and success in leading technical teams through high complexity data conversion projects • Strong SQL skills for identifying, analyzing, and interpreting data • Prior hands-on experience in designing and developing Data Warehouse, Master Data, and Data Integration implementations • Excellent written and verbal communication skills, including demonstrated proficiency developing exceptional documentation of work efforts • Demonstrated success working with both business and technical team members, ability to clearly articulate and justify complex technical activities and approaches in business terms • Demonstrated ability to work collaboratively and effectively in a team environment as well as independently • Demonstrated proficiency using relational database concepts • Experience with non-relational database sources and dimensional models • Demonstrated proficiency with data modeling, design patterns, object-oriented concepts is a plus • Possess sound analytical, problem solving, and critical thinking skills • Must have the ability to think creatively and incorporate current technical solutions with the end user in mind • Ability to plan and organize time to be successful in environment of multiple deadlines and interruptions • Ability to work with minimum supervision as well as effectively perform work under specific direction as needed",150000,160000,155000
DEPARTMENT OF CITY PLANNING,1,IT PROJECT SPECIALIST,2025-12-16,"- Five or more years building full stack web applications. - Excellent communication skills and ability to work in a collaborative development environment. - Proficiency with JavaScript, Typescript, and SQL. - Building RESTful APIs using the Swagger/OpenAPI specification. - Building data intensive web applications using React and other frameworks. - Building CI/CD automations using tools such as GitHub Actions. - Micro-service architecture and Domain Driven Design concepts. - Familiarity with common cloud providers such as Azure or AWS. - Designing and implementing relational databases with PostgreSQL. - Proficient working with geospatial data and understanding of GIS concepts. - Microsoft APIs like Graph API, SharePoint REST API, or Dynamics 365 OData API. - Experience working in an agile, iterative development setting. - Participating in code reviews and mentoring other engineers. - Interest in urban planning methodologies and NYC history.",115000,125000,120000
DISTRICT ATTORNEY RICHMOND COU,1,COMMUNITY ASSOCIATE,2025-12-03,"•	Bachelor’s degree.  •	Prior criminal justice experience or coursework preferred.  •	Excellent verbal, written and professional interpersonal communication skills. •	Proficiency in Microsoft Office programs. •	Fluency in foreign languages, particularly Spanish.",55000,55000,55000
DEPT OF DESIGN & CONSTRUCTION,1,SUMMER COLLEGE INTERN,2026-01-08,"Preference will be given to candidates who are pursuing an undergraduate degree in architecture, engineering, urban planning, or a related field of study.",34320,35360,34840
DEPT OF ENVIRONMENT PROTECTION,1,ENGINEERING TECHNICIAN,2026-01-02,"Comfortable being outdoors and in all kinds of weather, and being okay with physical activities such as opening manhole covers with a sewer hook, taking and recording measurements using various tools, carrying a clipboard and/or a computer tablet.  License Requirement For Certain Positions: For assignment to certain positions, the candidate must possess at the time of appointment or assignment a Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of employment.",65157,74930,70044
NYC HOUSING AUTHORITY,1,COMMUNITY ASSOCIATE,2026-01-30,1.     Excellent verbal and written communication skills. 2.     Ability to sit for long periods of time while operating the REES Hotline.  3.     Commitment to customer service and passion for serving NYCHA residents.  4.     Proficiency in MS Word and Excel and excellent data entry skills.  5.     Past experience in a similar role and industry. 6.     Bilingual language skills a plus.,44545,56960,50752
DEPARTMENT OF PROBATION,1,PRINCIPAL ADMINISTRATIVE ASSOC,2026-01-13,"* Strong attention to detail and accuracy.  * Proficiency in using time and attendance systems (e.g., CityTime).  * Excellent organizational and time management skills.  * Ability to work independently and as part of a team.  * Strong communication and interpersonal skills.  * Knowledge of payroll processing and leave administration procedures.",59715,70000,64858
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-12-01,,62296,71635,66966
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY CUSTODIAL ASSISTANT,2024-12-10,,36129,50285,43207
DEPT OF HEALTH/MENTAL HYGIENE,4,PUBLIC HEALTH ADVISER,2025-12-23,,54799,63019,58909
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PROJECT MANAGER,2026-01-06,,83718,223299,153508
BRONX DISTRICT ATTORNEY,5,ASSISTANT DISTRICT ATTORNEY (S,2025-11-14,,97000,178000,137500
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT CIVIL ENGINEER,2026-01-24,"• Experience using Microsoft Office, specifically Excel. • Ability to handle multiple priorities and projects simultaneously. • Excellent communication skills both written and oral. Be able to write professionally. • Problem solving skills and ability to make independent decisions. • Leadership skills and be able to direct and lead. • Self-motivated individual to take initiative and execute task. • May be required to attend meetings and field visits that are outside of the regular working place. • A NYS driver’s license is required.",76279,76279,76279
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,2025-12-22,,62868,72298,67583
DEPT OF ENVIRONMENT PROTECTION,1,ENVIRONMENTAL ENGINEERING INTE,2026-01-12,• A valid New York State driver’s license is preferred. • Strong oral and written communication. • Proficient in Microsoft Office suite. • Research capabilities.,68709,68709,68709
DEPT OF ENVIRONMENT PROTECTION,5,SENIOR STATIONARY ENGINEER (EL,2025-12-09,,167627,167627,167627
DEPARTMENT OF INVESTIGATION,1,CONFIDENTIAL INVESTIGATOR,2025-10-17,"•	Communication and Initiative: Strong public speaking skills and the ability to self-motivate, stay proactive, and manage multiple tasks independently. Multilingual is a plus. •	Microsoft Office Skills: Proficient in Outlook, Excel, and PowerPoint; experience with other Microsoft Office applications and Adobe is a plus. •	Attention to Detail: Ability to proofread, edit, and ensure accuracy in all materials. The candidate should be highly organized and task-oriented.",52426,56536,54481
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY ASSOCIATE,2025-12-24,,44545,60000,52272
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY MEDICAL SPECIALIST (PART-,2025-01-24,,164798,164798,164798
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY COORDINATOR,2025-12-30,,62868,90000,76434
DEPT OF PARKS & RECREATION,7,PAINTER,2026-01-14,"1.	Able to lift heavy objects and move large furniture. 2.	Ability to use handheld devices to track work orders. 3.	Ability to work flexible hours, nights and weekends as needed. 4.	Strong customer service, organizational and communication skills.",108805,108805,108805
DISTRICT ATTORNEY KINGS COUNTY,1,COMMUNITY ASSISTANT,2026-01-20,,43460,43460,43460
DEPT OF DESIGN & CONSTRUCTION,1,ASSISTANT ARCHITECT,2025-12-23,"Candidates should have the ability to manage construction managers; complete multiple multi-trade projects on schedule; possess strong computer, organizational, verbal, and written communication skills; and should be attentive to details.",66330,76279,71304
DEPARTMENT FOR THE AGING,1,SUPERVISOR II (SOCIAL SERVICES,2026-01-27,"• Excellent communication and organizational skills, with the ability to manage multiple cases and deliverables simultaneously. • Familiarity with New York City Housing Court processes, housing resources, and/or tenant protections. • Knowledge of aging services, elder justice, or related social service systems in New York City. • Strong collaboration skills; able to work effectively with clients, colleagues, courts, community-based organizations, and government partners. • Proficient in Microsoft Office applications (Excel, Word, etc.); proficiency in data management systems preferred. • Self-starter who works well independently and as part of a team, with flexibility to support a recently expanded eviction prevention program. • Bi-lingual proficiency (especially Spanish/English) preferred. • Master’s Degree in Social Work, Mental Health Services, Psychology, or a closely related field a plus.",79560,91499,85530
DEPT OF HEALTH/MENTAL HYGIENE,1,COMMUNITY COORDINATOR,2025-12-17,,62868,72298,67583
NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SYSTEMS MANAGER,2025-12-15,"•	Bachelor’s degree in Business Administration, Computer Science, Information Technology, or related field •	Minimum of 2 years of progressive experience as product owner / business analysis •	Understanding of product owner / business analysis management methodologies and best practices •	Proven track record in gathering, analyzing, documenting complex business requirements to support business outcomes / scope •	Ability to learn NYCERS business processes / vision (current / future state) •	Excellent communication, presentation, and articulation skills •	Strong business / client facing presence •	Strong collaboration and team management skills •	Ability to work effectively with internal and external stakeholders at all levels •	Strong organization, and time management skills •	Ability to prioritize, multitask, and problem-solve •	Attention to detail •	Ability to adapt quickly to changing priorities and deadlines •	Proficiency in Microsoft Office Suite and project management tools •	Working knowledge of process mapping tools (e.g., Visio) •	Knowledge of NYCERS or pension administration is a plus",73561,120000,96780
